,Gene,logFC_prot,padj_prot,logFC_tr,padj_tr
0,BACUNI_04578,-0.916274357511956,2.00406669222074e-11,-0.662814546752465,1.06410809777976e-18
1,BACUNI_02635,0.996022740862301,2.00406669222074e-11,4.34524711842714,0.0
2,BACUNI_02389,-0.944287298530519,2.00406669222074e-11,-1.46722128818051,1.3539537522306598e-40
3,trpD,-0.91875848080009,2.5313629478652e-11,-1.33997627357601,4.5228042046249795e-43
4,BACUNI_02639,1.51210804456154,2.5313629478652e-11,4.50700058356474,0.0
5,BACUNI_02640,1.35708734828104,2.98018991444231e-11,4.64493103786739,0.0
6,BACUNI_04579,-0.833585874986746,2.98018991444231e-11,-1.67422120201073,1.08765930675002e-157
7,BACUNI_02644,1.30463384163139,4.9063137079529e-11,4.52138193193932,5.0684495742387e-270
8,BACUNI_02643,1.38328708661593,5.0615265147376394e-11,4.5912242207834,1.17080815422309e-297
9,BACUNI_02641,1.32365717857662,5.7323424933051893e-11,4.56080425538252,0.0
10,hisB,-0.710358362634281,5.7323424933051893e-11,-1.10580377395692,5.81928892679698e-32
11,trpA,-0.930388812012428,7.514233132737209e-11,-0.982436409043737,3.30061823759293e-27
12,hisD,-0.632126026247899,1.06367840378228e-10,-1.18660907673538,3.09119781232545e-45
13,leuC,-0.559069121263132,1.06367840378228e-10,-1.12930641256246,1.4966544043296e-46
14,BACUNI_04032,0.787508569417401,1.46586542896257e-10,2.67355621009057,1.9743902411626702e-93
15,hisC,-0.702602187610609,2.11458855584177e-10,-1.13389366261893,2.3664395461382e-33
16,BACUNI_02642,1.34259887990385,2.48574009225131e-10,4.72353379971651,2.0865456645434102e-247
17,BACUNI_04528,-0.869786019825078,2.48574009225131e-10,-2.70466642677419,2.8264114385158104e-196
18,BACUNI_03317,0.900143292947746,3.12562392933879e-10,2.41727144109211,3.68754040468716e-106
19,leuA,-0.572844562730698,3.3450838382991e-10,-1.0008130833517,6.260560178094159e-42
20,BACUNI_01869,-0.896540983401547,3.3450838382991e-10,-1.02596507580856,4.4902806591485004e-36
21,BACUNI_02913,-0.903943126928365,3.3450838382991e-10,-3.06820860528338,0.0
22,BACUNI_03571,-0.60312346371952,5.52892442094788e-10,-1.1550963195531,1.08033742544252e-13
23,BACUNI_03690,0.782381745161508,5.88886900199397e-10,1.75318130338053,6.274703418899721e-15
24,BACUNI_03318,0.672970809104026,6.04338517547138e-10,2.09017962511252,5.97133084533503e-195
25,BACUNI_02637,1.4979566087957,6.04338517547138e-10,4.72008776077362,0.0
26,BACUNI_02827,-0.607385069415951,7.93673402443298e-10,-0.822771384687075,3.5083915433403302e-09
27,ilvB,-0.53608645063245,1.09946198061489e-09,-1.14525583526387,1.00546967113675e-64
28,BACUNI_03319,0.559734938687249,1.28213142504156e-09,1.17321815037257,3.12586965109501e-38
29,BACUNI_02914,-0.784849430505265,1.28213142504156e-09,-3.21428639255933,5.71914532186604e-204
30,BACUNI_02049,-0.713234659119095,1.28213142504156e-09,-1.0402420790259,3.82266559959474e-72
31,leuD,-0.704119505522417,1.64506469403555e-09,-0.961502062610174,2.0547615290507397e-42
32,BACUNI_03267,-0.895001198174622,1.69311938969828e-09,-0.975687799627473,1.2098551723162e-18
33,BACUNI_04543,-0.54818238373738,2.1935323499014e-09,-1.03579599728445,6.566736889678389e-55
34,BACUNI_03709,0.60132777264263,2.49873530623664e-09,0.745278980920764,0.0056944207740507
35,BACUNI_02867,0.596212738159391,2.7400365195881503e-09,0.676888321082218,1.1407553572967e-12
36,BACUNI_02645,0.835568154786646,2.7400365195881503e-09,1.58328208918509,4.09820578021136e-157
37,BACUNI_01114,-0.858837249182272,3.1522319837173303e-09,-0.565752492309141,7.13855553177776e-06
38,trpC,-0.894766584042895,3.5471261443868404e-09,-1.25956522672618,3.16209928989892e-34
39,nifJ,0.747110011782528,7.2774684771750305e-09,1.28875684327595,3.3986331990253804e-173
40,BACUNI_03266,-0.590040880528829,7.280819472940141e-09,-0.765458566946242,2.39489543486281e-11
41,BACUNI_02454,-0.807259162846076,1.09947945008416e-08,-1.24090975250087,2.4054275296780703e-47
42,BACUNI_02722,-0.754581430047235,1.22823694557131e-08,-0.992312165742282,1.3761701592221e-17
43,BACUNI_03570,-0.64912319330362,1.6126987913799e-08,-0.927781383147333,4.79333996366514e-08
44,BACUNI_02297,0.625115973831754,2.04971750573899e-08,-1.04229470885994,2.8585796204683597e-134
45,BACUNI_04029,0.624209239149241,2.1102264898495e-08,2.0620430655775,7.028815901823551e-277
46,cbiK,-0.505150610019847,6.91473155324837e-08,-3.124927204505,1.2139098612297401e-253
47,BACUNI_01598,-0.67594330840161,1.51247944306574e-07,-1.36698239092236,2.02897867327549e-07
48,BACUNI_04450,-1.51933795093122,2.75534019048133e-07,-3.2832932857729,1.2785195616180402e-120
49,BACUNI_02632,0.800752177429636,3.5273243810404e-07,1.07920897076086,2.8811337025771497e-49
50,BACUNI_02889,-0.696975686211349,4.89888074024016e-07,-1.75601557642666,7.33460089154367e-14
51,BACUNI_01430,0.597069919385195,6.29923622454119e-07,-2.3995247452514,1.86022926118106e-305
52,BACUNI_03706,0.673968897244048,8.32936589146546e-07,0.518875232100429,8.94013363144796e-05
53,BACUNI_04370,0.536106949918782,8.63690614393841e-07,-0.693823686128346,5.67749636425691e-22
54,BACUNI_01438,0.544277544071026,8.93754938860224e-07,-1.90618952054262,6.48314182879655e-169
55,BACUNI_00959,-0.709808258107557,1.0821281677524e-06,-0.979054453582078,0.0002411237342246
56,BACUNI_04503,0.596174855696145,4.86233241058827e-06,-1.16796055617524,4.8258416349075e-07
57,BACUNI_04502,0.575832608448856,1.63638700315989e-05,-0.649103527859318,0.0229098963289001
58,BACUNI_00723,0.642673476540743,2.00073667343058e-05,1.02159175840308,6.14810874887417e-06
59,BACUNI_04030,0.505090639648436,6.6236261921967e-05,2.08899350812514,5.56182381693583e-61
60,BACUNI_01935,0.755329170980598,0.0002270138434539,0.513420476396392,0.0002519067746503
61,BACUNI_00722,-0.520640077843133,0.0003089123742325,0.50301020013197,8.96240734001988e-07
62,BACUNI_04513,0.527504503589654,0.0005477194738525,-1.03823023991103,0.0051735986422277
63,BACUNI_00590,0.905745564991758,0.0006260564783712,-0.796631271659676,1.31713283131515e-08
64,BACUNI_03509,1.21267110278805,0.003012550781483,0.837410620588294,2.7090160408832e-09
