,Gene,logFC_prot,padj_prot,logFC_tr,padj_tr
0,BACUNI_02801,1.05002276858045,2.6238499090506497e-11,2.15827220176521,4.23378277644955e-54
1,BACUNI_01935,1.89214579514261,2.6238499090506497e-11,4.80361708894475,0.0
2,BACUNI_04540,1.10286032815753,2.6238499090506497e-11,2.90064452465591,9.03094881263861e-149
3,BACUNI_00179,2.29800350438943,4.8769492827748796e-11,4.08864507479788,0.0
4,BACUNI_04578,-1.01420095220118,4.947975849700939e-11,-2.4609198323448,0.0
5,BACUNI_04323,0.887689737921409,4.947975849700939e-11,1.51682669314003,1.97901636255497e-105
6,ispD,0.836801957206948,1.1064541713665701e-10,-1.22819696970107,3.69101768821733e-84
7,BACUNI_02641,0.734638241413279,3.83783600875789e-10,2.80913446993657,2.3730015725845501e-200
8,BACUNI_04280,1.21879574562437,3.83783600875789e-10,-1.30963285606788,2.35044917264988e-34
9,BACUNI_04283,1.003458286885,3.98903045750063e-10,-1.36008788670632,4.40716051188194e-66
10,BACUNI_03254,-1.60086651159792,5.81857169344336e-10,-0.999227626369889,1.29413621384158e-101
11,BACUNI_00150,-0.74680654556408,8.12424986390614e-10,-1.80754699390007,5.35986799512525e-70
12,BACUNI_01155,0.669513909163527,1.3724221284860602e-09,0.631233809538223,1.12524588541139e-06
13,BACUNI_02802,1.37283564196163,1.3935384755261601e-09,3.01006040070662,1.67887951203008e-50
14,clpB,0.660794050614527,1.4194265408297602e-09,2.72501155260508,0.0
15,BACUNI_01999,0.579769842930641,1.5570875859905301e-09,4.02323174349702,0.0
16,dnaK,0.579221221958409,1.5570875859905301e-09,3.91844449205067,0.0
17,BACUNI_00970,-0.656459101535535,1.5683541154040201e-09,-2.3065646396827,5.27770301076946e-248
18,BACUNI_01430,0.648986871780743,2.00286754290124e-09,-1.13803888017479,5.98334745585329e-30
19,BACUNI_02640,0.701561883202391,2.4690173997267804e-09,2.36788858764842,9.27781652551399e-176
20,BACUNI_04339,-0.85256329511304,2.4690173997267804e-09,-1.60325845253027,9.71506730309166e-249
21,BACUNI_00884,0.536729974552124,3.0362297037268704e-09,0.623311041552749,1.34733261332968e-13
22,BACUNI_04539,1.19879179536957,3.62951218270153e-09,2.44024819438807,4.2183459683284304e-54
23,BACUNI_02644,0.678971614204514,3.62951218270153e-09,4.3655685723418,0.0
24,BACUNI_02643,0.659234567680528,3.62951218270153e-09,3.45981140504737,0.0
25,BACUNI_02078,0.527724288875689,4.64466160215096e-09,1.1460323694563,3.42290984228314e-14
