,Gene,logFC_prot,padj_prot,logFC_tr,padj_tr
0,ric,1.82127869229872,2.67613290413872e-14,1.92259484739293,2.89559373500959e-138
1,BACUNI_04254,-1.23902835699469,2.8456527464407703e-14,-1.15481406553657,0.0004804939010296
2,hemD,-1.31607079981841,2.87516860624981e-14,-2.15246336209718,9.30998815683632e-203
3,BACUNI_01594,1.51189909476875,2.87516860624981e-14,1.96275122853778,6.53546840294389e-38
4,aspT,1.48706605827068,2.9847684036303e-14,0.566729446761757,3.0802238759255396e-11
5,lpdA,1.68709817757014,2.9847684036303e-14,1.71882430860191,6.03592291845653e-146
6,BACUNI_01695,-1.56633889205681,2.9847684036303e-14,-2.71225880155149,1.32575647246826e-291
7,truB,-1.64151323728478,2.9847684036303e-14,-0.776495582512668,4.187816056221131e-25
8,BACUNI_00674,2.11797919661901,2.9847684036303e-14,2.49051491908611,2.98051520681164e-99
9,BACUNI_04027,-1.28551457836194,2.9847684036303e-14,-3.32839131525353,2.57862796417029e-160
10,BACUNI_03215,1.5986482725253,2.9847684036303e-14,3.70098577422848,8.46541891174023e-68
11,BACUNI_01476,1.47213457638878,2.9847684036303e-14,-1.75609501246294,4.6883798785394295e-174
12,BACUNI_00386,2.17407607560626,3.7022070810652603e-14,0.814815630665613,1.2334781400670899e-18
13,ppk1,1.76880575954706,3.94501774336802e-14,3.11747383764945,2.97628649860488e-278
14,rplX,-1.27226713360174,3.94501774336802e-14,-3.26051828813926,0.0
15,BACUNI_02175,1.93319344514271,3.94501774336802e-14,3.1401489668856,0.0
16,BACUNI_01968,1.02430139823649,3.94501774336802e-14,0.924556554844087,1.0798439331756399e-55
17,BACUNI_03943,1.92957601124843,3.94501774336802e-14,2.19107028689352,1.30305964558319e-191
18,BACUNI_02297,2.5050525519162,3.94501774336802e-14,3.51833624689711,0.0
19,BACUNI_01141,1.5440450439627,4.02518564052299e-14,1.88887417497298,5.5486266878668195e-168
20,BACUNI_04452,1.59472558946102,4.03972339647024e-14,1.99242065131252,3.01788633971477e-88
21,gcvH,1.71547389968059,4.03972339647024e-14,3.06657877208476,0.0
22,BACUNI_03627,1.52368649875591,4.16386492070537e-14,1.86408526124743,1.15630769937393e-226
23,BACUNI_03216,1.59205216566062,4.16386492070537e-14,3.91456498467833,3.71560683066696e-209
24,BACUNI_04565,2.10463994741444,4.61455117957275e-14,1.69985168668004,6.93668801874455e-97
25,tal,2.02974945755022,4.61455117957275e-14,2.85424743570324,0.0
26,BACUNI_04368,1.554333415531,4.61455117957275e-14,1.4533266501128,7.08275258309063e-92
27,eno,1.68861512388473,4.61455117957275e-14,2.85049812081361,0.0
28,eno,1.66844257075794,5.75834438592646e-14,2.85049812081361,0.0
29,clpB,1.71730030910582,4.61455117957275e-14,2.70033010647077,1.6589864510347198e-299
30,BACUNI_03352,2.43554362154843,4.61455117957275e-14,6.01668256345259,0.0
31,BACUNI_03917,1.36609451609072,4.61455117957275e-14,2.56873364262013,1.12463201844692e-297
32,BACUNI_03213,1.79286659342957,4.61455117957275e-14,2.91148271299048,1.77177323409171e-141
33,BACUNI_01156,1.30659307893819,4.61455117957275e-14,-1.73056018284788,4.82925093321732e-21
34,BACUNI_01938,1.25941032147788,4.61455117957275e-14,1.94118639764998,6.28685924575786e-88
35,BACUNI_00330,1.63883352916873,4.61455117957275e-14,1.23147320625353,4.83097564477063e-80
36,BACUNI_01144,1.18667116808962,4.61455117957275e-14,0.616796520336913,8.702249625606551e-21
37,BACUNI_01069,1.9785817982871,4.61455117957275e-14,5.36909443661778,5.12278422036143e-264
38,BACUNI_03585,1.68477963021196,4.61455117957275e-14,4.98196781392323,1.4353822275085399e-204
39,BACUNI_02382,-0.891389486333686,4.61455117957275e-14,-2.58582347544595,2.9802906339584e-278
40,serC,1.68231539500547,4.61455117957275e-14,3.28418941732206,0.0
41,gpmA,1.61330149643481,4.61455117957275e-14,2.25752546129318,1.32036378221503e-200
42,gpmA,1.16906866315739,6.3716186600958e-14,2.25752546129318,1.32036378221503e-200
43,gcvP,1.81622972329268,4.89193182620633e-14,3.12361045618407,7.31659463300895e-264
44,floA,1.18284558947335,5.02215276864622e-14,1.39190704745217,5.92461746327817e-74
45,BACUNI_01401,2.41517835884734,5.3356670102087303e-14,3.87187263990455,0.0
46,BACUNI_03217,1.73924948944051,5.42286555008053e-14,3.64573721744624,0.0
47,BACUNI_02429,0.901111237515806,5.42286555008053e-14,1.09696798476961,4.46200203230826e-64
48,BACUNI_00572,1.93073921346548,5.42286555008053e-14,2.91455502186391,2.6038605957475697e-217
49,BACUNI_01126,1.85286587955626,6.08654095553981e-14,2.04026410908968,4.24981538408892e-131
50,BACUNI_04550,2.19607141630014,6.3716186600958e-14,3.38148508360633,1.1933764128755799e-256
51,BACUNI_03400,1.23011637635202,6.3716186600958e-14,2.68240720386726,4.87099728793543e-302
52,BACUNI_01153,1.6193307795516,6.3716186600958e-14,-1.9200648703706,5.23180275181151e-86
53,BACUNI_01997,-1.06352652045886,6.3716186600958e-14,1.42213429892193,5.6843523776845e-175
54,BACUNI_04640,1.30746714481766,6.3716186600958e-14,2.50611799576265,2.1101757890483497e-275
55,BACUNI_04421,2.39816893466839,6.3716186600958e-14,3.38862116039543,2.58699447012035e-297
56,etfA,1.19693613053015,6.3716186600958e-14,0.677634129205377,1.63714850021386e-22
57,fusA,-0.972580600211515,6.935179232971331e-14,-2.5268184504231,0.0
58,gdh,2.48495927452553,6.935179232971331e-14,3.26396555193667,0.0
59,BACUNI_02938,1.91779797024039,6.935179232971331e-14,2.66607828639977,2.8251233300583e-277
60,BACUNI_02579,-1.06109859725571,6.935179232971331e-14,-1.14725172191653,5.20313502217174e-50
61,BACUNI_02328,1.83166204745907,6.935179232971331e-14,3.58502662135406,0.0
62,rpsI,-1.04239035555457,6.935179232971331e-14,-2.77318189546817,0.0
63,galK,1.50792490459343,6.935179232971331e-14,2.07831817436167,1.78451364647532e-118
64,BACUNI_01742,1.72847433786343,6.935179232971331e-14,-1.99479656420971,2.35050320101257e-123
65,BACUNI_00960,2.27262805777959,6.935179232971331e-14,4.07953736405979,0.0
66,BACUNI_00480,-1.69614401355967,7.003555002741311e-14,-4.02127258404217,5.9806185867743096e-170
67,ald,2.47328371968538,7.58963004965196e-14,7.87181773442585,0.0
68,pflB,-1.69949519281847,7.8941981676519e-14,-3.99142550981639,0.0
69,BACUNI_02183,1.15063524628198,8.32357536718801e-14,1.42388259246065,3.77545198874974e-111
70,BACUNI_01212,2.39463783125668,8.32357536718801e-14,0.561411791620454,2.04074064855828e-05
71,BACUNI_01464,1.72447412982067,8.96620673993593e-14,-1.43712198758931,6.75832234021219e-81
72,lepA,-0.79558266749973,9.19820394936275e-14,-3.11625728398374,0.0
73,rplB,-1.01968806500182,9.246456616494481e-14,-2.37200651478465,0.0
74,BACUNI_02071,-0.834630251554273,9.246456616494481e-14,-3.09981962242979,0.0
75,BACUNI_02000,1.19199593391586,9.267834745405591e-14,0.771810231627605,4.44428638416975e-22
76,infB,-0.866130978362484,9.267834745405591e-14,-1.58915577381156,5.97874031081372e-192
77,BACUNI_00114,1.01042456890123,9.40679136835622e-14,2.73774805900935,4.14886806122108e-26
78,pulA,1.01813526675858,1.02936353634296e-13,-0.552511297826733,4.344960469803159e-22
79,rpsD,-1.00018229235494,1.02936353634296e-13,-3.08055809620095,0.0
80,BACUNI_02743,1.14478972931821,1.03550651694378e-13,0.70226886916656,2.27038415210652e-24
81,BACUNI_03497,-0.951070461791584,1.08055574164754e-13,-1.4933865405608,2.79195000702657e-26
82,BACUNI_03025,1.47309560216586,1.08055574164754e-13,0.911815405073883,6.73033055890536e-29
