index,bacuni,Entry.Name,Gene
bc2018--bc2018___80_00001,bc2018--bc2018___80_00001,,bc2018--bc2018___80_00001
bc2018--bc2018___80_00002,BACUNI_00026,A7UXK8_BACUC,BACUNI_00026
bc2018--bc2018___80_00003,BACUNI_00025,,BACUNI_00025
bc2018--bc2018___80_00004,BACUNI_00020,,BACUNI_00020
bc2018--bc2018___80_00005,BACUNI_00054,A7UXN6_BACUC,BACUNI_00054
bc2018--bc2018___80_00006,BACUNI_00053,A7UXN5_BACUC,BACUNI_00053
bc2018--bc2018___80_00007,BACUNI_03780,,BACUNI_03780
bc2018--bc2018___80_00008,BACUNI_03781,A7V864_BACUC,BACUNI_03781
bc2018--bc2018___80_00009,BACUNI_03782,A7V865_BACUC,BACUNI_03782
bc2018--bc2018___80_00010,BACUNI_03783,A7V866_BACUC,BACUNI_03783
bc2018--bc2018___80_00011,BACUNI_00051,,BACUNI_00051
bc2018--bc2018___80_00012,BACUNI_00050,A7UXN2_BACUC,BACUNI_00050
bc2018--bc2018___80_00013,BACUNI_00047,A7UXM9_BACUC,BACUNI_00047
contig_4_ncRNA1,contig_4_ncRNA1,,contig_4_ncRNA1
contig_4_ncRNA2,contig_4_ncRNA2,,contig_4_ncRNA2
contig_4_ncRNA3,contig_4_ncRNA3,,contig_4_ncRNA3
contig_4_ncRNA4,contig_4_ncRNA4,,contig_4_ncRNA4
contig_4_ncRNA5,contig_4_ncRNA5,,contig_4_ncRNA5
contig_4_ncRNA6,contig_4_ncRNA6,,contig_4_ncRNA6
contig_4_ncRNA7,contig_4_ncRNA7,,contig_4_ncRNA7
contig_4_ncRNA8,contig_4_ncRNA8,,contig_4_ncRNA8
contig_4_ncRNA9,contig_4_ncRNA9,,contig_4_ncRNA9
contig_4_ncRNA10,contig_4_ncRNA10,,contig_4_ncRNA10
contig_4_ncRNA11,contig_4_ncRNA11,,contig_4_ncRNA11
contig_4_ncRNA12,contig_4_ncRNA12,,contig_4_ncRNA12
