index	Gene
bc2018--bc2018___80_00001	bc2018--bc2018___80_00001
bc2018--bc2018___80_00002	BACUNI_00026
bc2018--bc2018___80_00003	BACUNI_00025
bc2018--bc2018___80_00004	BACUNI_00020
bc2018--bc2018___80_00005	BACUNI_00054
bc2018--bc2018___80_00006	BACUNI_00053
bc2018--bc2018___80_00007	BACUNI_03780
bc2018--bc2018___80_00008	BACUNI_03781
bc2018--bc2018___80_00009	BACUNI_03782
bc2018--bc2018___80_00010	BACUNI_03783
bc2018--bc2018___80_00011	BACUNI_00051
bc2018--bc2018___80_00012	BACUNI_00050
bc2018--bc2018___80_00013	BACUNI_00047
contig_4_ncRNA1	contig_4_ncRNA1
contig_4_ncRNA2	contig_4_ncRNA2
contig_4_ncRNA3	contig_4_ncRNA3
contig_4_ncRNA4	contig_4_ncRNA4
contig_4_ncRNA5	contig_4_ncRNA5
contig_4_ncRNA6	contig_4_ncRNA6
contig_4_ncRNA7	contig_4_ncRNA7
contig_4_ncRNA8	contig_4_ncRNA8
contig_4_ncRNA9	contig_4_ncRNA9
contig_4_ncRNA10	contig_4_ncRNA10
contig_4_ncRNA11	contig_4_ncRNA11
contig_4_ncRNA12	contig_4_ncRNA12
contig_4_ncRNA13	contig_4_ncRNA13
contig_4_ncRNA14	contig_4_ncRNA14
contig_4_ncRNA15	contig_4_ncRNA15
contig_4_ncRNA16	contig_4_ncRNA16
contig_4_ncRNA17	contig_4_ncRNA17
contig_4_ncRNA18	contig_4_ncRNA18
contig_4_ncRNA19	contig_4_ncRNA19
contig_4_ncRNA20	contig_4_ncRNA20
contig_4_ncRNA21	contig_4_ncRNA21
contig_4_ncRNA22	contig_4_ncRNA22
contig_4_ncRNA23	contig_4_ncRNA23
contig_4_ncRNA24	contig_4_ncRNA24
contig_4_ncRNA25	contig_4_ncRNA25
contig_4_ncRNA26	contig_4_ncRNA26
contig_4_ncRNA27	contig_4_ncRNA27
contig_4_ncRNA28	contig_4_ncRNA28
contig_4_ncRNA29	contig_4_ncRNA29
contig_4_ncRNA30	contig_4_ncRNA30
contig_4_ncRNA31	contig_4_ncRNA31
contig_4_ncRNA32	contig_4_ncRNA32
contig_4_ncRNA33	contig_4_ncRNA33
contig_4_ncRNA34	contig_4_ncRNA34
contig_4_ncRNA35	contig_4_ncRNA35
contig_4_ncRNA36	contig_4_ncRNA36
contig_4_ncRNA37	contig_4_ncRNA37
contig_4_ncRNA38	contig_4_ncRNA38
contig_4_ncRNA39	contig_4_ncRNA39
contig_4_ncRNA40	contig_4_ncRNA40
contig_4_ncRNA41	contig_4_ncRNA41
contig_4_ncRNA42	contig_4_ncRNA42
contig_4_ncRNA43	contig_4_ncRNA43
contig_4_ncRNA44	contig_4_ncRNA44
contig_4_ncRNA45	contig_4_ncRNA45
contig_4_ncRNA46	contig_4_ncRNA46
bc2018--bc2018___80_00014	bc2018--bc2018___80_00014
bc2018--bc2018___80_00015	BACUNI_04001
bc2018--bc2018___80_00016	BACUNI_04000
bc2018--bc2018___80_00017	BACUNI_03999
bc2018--bc2018___80_00018	hup
bc2018--bc2018___80_00019	argS
bc2018--bc2018___80_00020	topA
bc2018--bc2018___80_00021	BACUNI_03993
bc2018--bc2018___80_00022	BACUNI_03992
bc2018--bc2018___80_00023	BACUNI_03991
bc2018--bc2018___80_00024	BACUNI_03990
bc2018--bc2018___80_00025	BACUNI_03989
bc2018--bc2018___80_00026	BACUNI_03988
bc2018--bc2018___80_00027	BACUNI_03987
bc2018--bc2018___80_00028	BACUNI_03985
bc2018--bc2018___80_00029	BACUNI_03984
bc2018--bc2018___80_00030	BACUNI_03982
bc2018--bc2018___80_00031	comF
bc2018--bc2018___80_00032	BACUNI_03980
bc2018--bc2018___80_00035	BACUNI_03978
bc2018--bc2018___80_00036	BACUNI_03977
bc2018--bc2018___80_00037	BACUNI_03976
bc2018--bc2018___80_00038	bc2018--bc2018___80_00038
bc2018--bc2018___80_00039	BACUNI_03974
bc2018--bc2018___80_00040	bglX
bc2018--bc2018___80_00041	BACUNI_03971
bc2018--bc2018___80_00042	BACUNI_03970
bc2018--bc2018___80_00043	BACUNI_03969
bc2018--bc2018___80_00044	BACUNI_03968
bc2018--bc2018___80_00045	BACUNI_03967
bc2018--bc2018___80_00046	BACUNI_03966
bc2018--bc2018___80_00047	BACUNI_03965
bc2018--bc2018___80_00048	BACUNI_03964
bc2018--bc2018___80_00049	BACUNI_03963
bc2018--bc2018___80_00050	BACUNI_03962
bc2018--bc2018___80_00051	bglX
bc2018--bc2018___80_00052	BACUNI_03960
bc2018--bc2018___80_00053	BACUNI_03959
bc2018--bc2018___80_00054	BACUNI_03957
bc2018--bc2018___80_00055	BACUNI_03956
bc2018--bc2018___80_00056	BACUNI_03954
bc2018--bc2018___80_00057	BACUNI_03953
bc2018--bc2018___80_00058	ispG
bc2018--bc2018___80_00059	purE
bc2018--bc2018___80_00060	gcvH
bc2018--bc2018___80_00061	BACUNI_03949
bc2018--bc2018___80_00062	rpoN
bc2018--bc2018___80_00063	BACUNI_03945
bc2018--bc2018___80_00064	BACUNI_03944
bc2018--bc2018___80_00065	BACUNI_03943
bc2018--bc2018___80_00066	BACUNI_03942
bc2018--bc2018___80_00067	BACUNI_03941
bc2018--bc2018___80_00068	BACUNI_03940
bc2018--bc2018___80_00069	BACUNI_03939
bc2018--bc2018___80_00070	BACUNI_03938
bc2018--bc2018___80_00071	ribF
bc2018--bc2018___80_00072	bc2018--bc2018___80_00072
bc2018--bc2018___80_00073	BACUNI_03936
bc2018--bc2018___80_00074	BACUNI_03935
bc2018--bc2018___80_00075	BACUNI_03933
bc2018--bc2018___80_00076	BACUNI_03932
bc2018--bc2018___80_00077	BACUNI_03930
bc2018--bc2018___80_00078	BACUNI_03929
bc2018--bc2018___80_00079	BACUNI_03928
bc2018--bc2018___80_00080	BACUNI_03927
bc2018--bc2018___80_00081	BACUNI_02401
bc2018--bc2018___80_00082	BACUNI_03048
bc2018--bc2018___80_00083	sufE
bc2018--bc2018___80_00084	BACUNI_03920
bc2018--bc2018___80_00085	BACUNI_03919
bc2018--bc2018___80_00086	BACUNI_03917
bc2018--bc2018___80_00087	buk
bc2018--bc2018___80_00088	bc2018--bc2018___80_00088
bc2018--bc2018___80_00089	BACUNI_03913
bc2018--bc2018___80_00090	BACUNI_03912
bc2018--bc2018___80_00091	BACUNI_03911
bc2018--bc2018___80_00092	BACUNI_03910
bc2018--bc2018___80_00093	BACUNI_03909
bc2018--bc2018___80_00094	BACUNI_03908
bc2018--bc2018___80_00095	BACUNI_03907
bc2018--bc2018___80_00096	bc2018--bc2018___80_00096
bc2018--bc2018___80_00097	BACUNI_03904
bc2018--bc2018___80_00098	rnhB
bc2018--bc2018___80_00099	bc2018--bc2018___80_00099
bc2018--bc2018___80_00100	bc2018--bc2018___80_00100
bc2018--bc2018___80_00101	BACUNI_03899
bc2018--bc2018___80_00102	bc2018--bc2018___80_00102
bc2018--bc2018___80_00103	bfce
bc2018--bc2018___80_00104	BACUNI_03894
bc2018--bc2018___80_00105	BACUNI_03893
bc2018--bc2018___80_00106	bc2018--bc2018___80_00106
bc2018--bc2018___80_00107	BACUNI_03891
bc2018--bc2018___80_00108	BACUNI_03890
bc2018--bc2018___80_00109	BACUNI_03888
bc2018--bc2018___80_00110	BACUNI_03887
bc2018--bc2018___80_00111	BACUNI_03885
bc2018--bc2018___80_00112	gpmI
bc2018--bc2018___80_00113	BACUNI_03883
bc2018--bc2018___80_00114	gyrB
bc2018--bc2018___80_00115	rpsT
bc2018--bc2018___80_00117	recO
bc2018--bc2018___80_00118	BACUNI_03875
bc2018--bc2018___80_00119	ftsZ
bc2018--bc2018___80_00120	ftsA
bc2018--bc2018___80_00121	BACUNI_03872
bc2018--bc2018___80_00122	murC
bc2018--bc2018___80_00123	murG
bc2018--bc2018___80_00124	BACUNI_03869
bc2018--bc2018___80_00125	murD
bc2018--bc2018___80_00126	mraY
bc2018--bc2018___80_00127	bc2018--bc2018___80_00127
bc2018--bc2018___80_00128	BACUNI_03865
bc2018--bc2018___80_00129	BACUNI_03864
bc2018--bc2018___80_00130	rsmH
bc2018--bc2018___80_00131	mraZ
bc2018--bc2018___80_00132	BACUNI_03859
bc2018--bc2018___80_00133	BACUNI_03858
bc2018--bc2018___80_00134	BACUNI_03857
bc2018--bc2018___80_00135	BACUNI_03856
bc2018--bc2018___80_00136	BACUNI_03855
bc2018--bc2018___80_00137	BACUNI_03854
bc2018--bc2018___80_00138	dut
bc2018--bc2018___80_00139	BACUNI_03852
bc2018--bc2018___80_00140	BACUNI_03851
bc2018--bc2018___80_00141	BACUNI_03850
bc2018--bc2018___80_00142	BACUNI_03849
bc2018--bc2018___80_00143	BACUNI_03847
bc2018--bc2018___80_00144	BACUNI_03846
bc2018--bc2018___80_00145	BACUNI_03844
bc2018--bc2018___80_00146	BACUNI_03843
bc2018--bc2018___80_00147	BACUNI_03842
bc2018--bc2018___80_00148	BACUNI_03841
bc2018--bc2018___80_00149	BACUNI_03840
bc2018--bc2018___80_00150	BACUNI_03839
bc2018--bc2018___80_00151	BACUNI_03838
bc2018--bc2018___80_00152	prfB
bc2018--bc2018___80_00153	bc2018--bc2018___80_00153
bc2018--bc2018___80_00154	BACUNI_03835
bc2018--bc2018___80_00155	BACUNI_03834
bc2018--bc2018___80_00156	BACUNI_03833
bc2018--bc2018___80_00157	BACUNI_03832
bc2018--bc2018___80_00158	bc2018--bc2018___80_00158
bc2018--bc2018___80_00159	BACUNI_03829
bc2018--bc2018___80_00160	BACUNI_03827
bc2018--bc2018___80_00161	BACUNI_03826
bc2018--bc2018___80_00162	BACUNI_03824
bc2018--bc2018___80_00163	BACUNI_03822
bc2018--bc2018___80_00164	BACUNI_03821
bc2018--bc2018___80_00165	BACUNI_03820
bc2018--bc2018___80_00166	BACUNI_03819
bc2018--bc2018___80_00167	BACUNI_03818
bc2018--bc2018___80_00169	BACUNI_03816
bc2018--bc2018___80_00170	BACUNI_03815
bc2018--bc2018___80_00171	BACUNI_03813
bc2018--bc2018___80_00172	BACUNI_03811
bc2018--bc2018___80_00173	BACUNI_03810
bc2018--bc2018___80_00174	BACUNI_03809
bc2018--bc2018___80_00175	BACUNI_03808
bc2018--bc2018___80_00176	BACUNI_03807
bc2018--bc2018___80_00177	BACUNI_03806
bc2018--bc2018___80_00178	BACUNI_03805
bc2018--bc2018___80_00179	BACUNI_03804
bc2018--bc2018___80_00180	BACUNI_03803
bc2018--bc2018___80_00181	bc2018--bc2018___80_00181
bc2018--bc2018___80_00182	BACUNI_03800
bc2018--bc2018___80_00183	BACUNI_03799
bc2018--bc2018___80_00184	BACUNI_03798
bc2018--bc2018___80_00185	BACUNI_03796
bc2018--bc2018___80_00186	BACUNI_03795
bc2018--bc2018___80_00187	BACUNI_03793
bc2018--bc2018___80_00188	BACUNI_03792
bc2018--bc2018___80_00189	ribB
bc2018--bc2018___80_00190	BACUNI_03789
bc2018--bc2018___80_00191	bc2018--bc2018___80_00191
bc2018--bc2018___80_00192	BACUNI_03787
bc2018--bc2018___80_00193	BACUNI_03786
bc2018--bc2018___80_00194	BACUNI_03785
bc2018--bc2018___80_00195	BACUNI_03784
bc2018--bc2018___80_00196	bc2018--bc2018___80_00196
bc2018--bc2018___80_00197	BACUNI_00270
bc2018--bc2018___80_00198	BACUNI_00269
bc2018--bc2018___80_00199	bglB
bc2018--bc2018___80_00200	glyS
bc2018--bc2018___80_00201	BACUNI_00265
bc2018--bc2018___80_00202	BACUNI_00264
bc2018--bc2018___80_00203	murQ
bc2018--bc2018___80_00204	BACUNI_00262
bc2018--bc2018___80_00205	BACUNI_00261
bc2018--bc2018___80_00206	BACUNI_00260
bc2018--bc2018___80_00207	BACUNI_00259
bc2018--bc2018___80_00208	BACUNI_00258
bc2018--bc2018___80_00209	BACUNI_00257
bc2018--bc2018___80_00210	BACUNI_00256
bc2018--bc2018___80_00211	BACUNI_00255
bc2018--bc2018___80_00212	BACUNI_00254
bc2018--bc2018___80_00213	BACUNI_00253
bc2018--bc2018___80_00214	BACUNI_00252
bc2018--bc2018___80_00215	BACUNI_00251
bc2018--bc2018___80_00216	BACUNI_00248
bc2018--bc2018___80_00217	BACUNI_00247
bc2018--bc2018___80_00218	BACUNI_00246
bc2018--bc2018___80_00219	BACUNI_00245
bc2018--bc2018___80_00220	BACUNI_00244
bc2018--bc2018___80_00221	BACUNI_00242
bc2018--bc2018___80_00222	BACUNI_00241
bc2018--bc2018___80_00223	BACUNI_00239
bc2018--bc2018___80_00224	BACUNI_00238
bc2018--bc2018___80_00225	BACUNI_00237
bc2018--bc2018___80_00226	BACUNI_00236
bc2018--bc2018___80_00227	BACUNI_00235
bc2018--bc2018___80_00228	asd
bc2018--bc2018___80_00229	BACUNI_00233
bc2018--bc2018___80_00230	BACUNI_00232
bc2018--bc2018___80_00231	BACUNI_00231
bc2018--bc2018___80_00232	BACUNI_00230
bc2018--bc2018___80_00233	BACUNI_00229
bc2018--bc2018___80_00234	BACUNI_00228
bc2018--bc2018___80_00235	fjo27
bc2018--bc2018___80_00236	murF
bc2018--bc2018___80_00237	folP
bc2018--bc2018___80_00238	dacA
bc2018--bc2018___80_00239	BACUNI_00223
bc2018--bc2018___80_00240	BACUNI_00222
bc2018--bc2018___80_00241	BACUNI_00221
bc2018--bc2018___80_00242	BACUNI_00220
bc2018--bc2018___80_00243	BACUNI_00219
bc2018--bc2018___80_00244	BACUNI_00218
bc2018--bc2018___80_00245	bc2018--bc2018___80_00245
bc2018--bc2018___80_00246	pta
bc2018--bc2018___80_00247	ackA
bc2018--bc2018___80_00248	BACUNI_00213
bc2018--bc2018___80_00249	BACUNI_00212
bc2018--bc2018___80_00250	BACUNI_00211
bc2018--bc2018___80_00251	BACUNI_00210
bc2018--bc2018___80_00252	BACUNI_00209
bc2018--bc2018___80_00253	BACUNI_02402
bc2018--bc2018___80_00254	BACUNI_02401
bc2018--bc2018___80_00255	BACUNI_00463
bc2018--bc2018___80_00256	BACUNI_00462
bc2018--bc2018___80_00257	efp
bc2018--bc2018___80_00258	rpmH
bc2018--bc2018___80_00259	BACUNI_00458
bc2018--bc2018___80_00260	BACUNI_00457
bc2018--bc2018___80_00261	ddl
bc2018--bc2018___80_00262	BACUNI_00455
bc2018--bc2018___80_00263	BACUNI_00454
bc2018--bc2018___80_00264	BACUNI_00453
bc2018--bc2018___80_00265	argF
bc2018--bc2018___80_00266	proA
bc2018--bc2018___80_00267	proB
bc2018--bc2018___80_00268	BACUNI_00449
bc2018--bc2018___80_00269	murI
bc2018--bc2018___80_00270	BACUNI_00447
bc2018--bc2018___80_00271	BACUNI_00446
bc2018--bc2018___80_00272	yaeT
bc2018--bc2018___80_00273	uppS
bc2018--bc2018___80_00274	BACUNI_00443
bc2018--bc2018___80_00275	ribD
bc2018--bc2018___80_00276	bc2018--bc2018___80_00276
bc2018--bc2018___80_00277	recX
bc2018--bc2018___80_00278	pyrE
bc2018--bc2018___80_00279	BACUNI_00438
bc2018--bc2018___80_00280	argH
bc2018--bc2018___80_00283	BACUNI_00434
bc2018--bc2018___80_00284	BACUNI_00432
bc2018--bc2018___80_00285	BACUNI_00431
bc2018--bc2018___80_00286	proC
bc2018--bc2018___80_00287	BACUNI_00428
bc2018--bc2018___80_00288	argC
bc2018--bc2018___80_00289	BACUNI_00426
bc2018--bc2018___80_00290	BACUNI_00425
bc2018--bc2018___80_00291	BACUNI_00424
bc2018--bc2018___80_00292	argR
bc2018--bc2018___80_00293	rhaB
bc2018--bc2018___80_00294	rhaA
bc2018--bc2018___80_00295	rhaT
bc2018--bc2018___80_00296	BACUNI_00418
bc2018--bc2018___80_00297	fucO
bc2018--bc2018___80_00298	BACUNI_00416
bc2018--bc2018___80_00299	bc2018--bc2018___80_00299
bc2018--bc2018___80_00302	BACUNI_00411
bc2018--bc2018___80_00303	BACUNI_00410
bc2018--bc2018___80_00304	BACUNI_00409
